Country,Region_Province,Institution,Program,Duration_months,Field_relevance,Intl_tuition_local_currency,Intl_tuition_CAD_verified,Budget_tier,Poststudy_work_months,Poststudy_pathway_name,Fee_basis,Verified_source_URL,Immigration_source_URL,Last_verified,Notes
France,Île-de-France,Université Paris-Saclay,Master of Economics (MoE),24,Economics,8092,11895,Yes,12,APS / Carte recherche d'emploi,program_total,http://www.universite-paris-saclay.fr/en/education/masters-degree/economics/m1-economics,https://www.service-public.gouv.fr/particuliers/vosdroits/F17319,2026-07-23,"English or bilingual track; 2-year national Master (M1+M2). Non-EU differentiated registration €3,941/yr + CVEC €105/yr (2025–26); embassy/university fee-exemption quotas may apply. Indian 4-year BBA: via Études en France/Campus France; check faculty prerequisites. Verify English share on programme page; some tracks M2 English-only."
France,Provence-Alpes-Côte d'Azur,Aix-Marseille University (AMSE),Master in Economics,24,Economics,8092,11895,Yes,12,APS / Carte recherche d'emploi,program_total,https://www.amse-aixmarseille.fr/en/study/master-economics,https://www.service-public.gouv.fr/particuliers/vosdroits/F17319,2026-07-23,"English or bilingual track; 2-year national Master (M1+M2). Non-EU differentiated registration €3,941/yr + CVEC €105/yr (2025–26); embassy/university fee-exemption quotas may apply. Indian 4-year BBA: via Études en France/Campus France; check faculty prerequisites. Verify English share on programme page; some tracks M2 English-only."
France,Provence-Alpes-Côte d'Azur,Aix-Marseille University (AMSE),Master in Econometrics & Statistics,24,Analytics,8092,11895,Yes,12,APS / Carte recherche d'emploi,program_total,https://www.amse-aixmarseille.fr/en/study/master-econometrics-statistics,https://www.service-public.gouv.fr/particuliers/vosdroits/F17319,2026-07-23,"English or bilingual track; 2-year national Master (M1+M2). Non-EU differentiated registration €3,941/yr + CVEC €105/yr (2025–26); embassy/university fee-exemption quotas may apply. Indian 4-year BBA: via Études en France/Campus France; check faculty prerequisites. Verify English share on programme page; some tracks M2 English-only."
France,Auvergne-Rhône-Alpes,Université Grenoble Alpes (Grenoble IAE),Master in Corporate Management — International Manager track,24,Management,8092,11895,Yes,12,APS / Carte recherche d'emploi,program_total,https://formations.univ-grenoble-alpes.fr/en/catalog-2021/master-s-degree-XB/master-in-corporate-management-and-administration-IDIV4XI5.html,https://www.service-public.gouv.fr/particuliers/vosdroits/F17319,2026-07-23,"English or bilingual track; 2-year national Master (M1+M2). Non-EU differentiated registration €3,941/yr + CVEC €105/yr (2025–26); embassy/university fee-exemption quotas may apply. Indian 4-year BBA: via Études en France/Campus France; check faculty prerequisites. Verify English share on programme page; some tracks M2 English-only."
France,Nouvelle-Aquitaine,Université de Bordeaux,Master in Economics (international/Erasmus track),24,Economics,8092,11895,Yes,12,APS / Carte recherche d'emploi,program_total,https://www.u-bordeaux.fr/formation/2016/PRME1U7,https://www.service-public.gouv.fr/particuliers/vosdroits/F17319,2026-07-23,"English or bilingual track; 2-year national Master (M1+M2). Non-EU differentiated registration €3,941/yr + CVEC €105/yr (2025–26); embassy/university fee-exemption quotas may apply. Indian 4-year BBA: via Études en France/Campus France; check faculty prerequisites. Verify English share on programme page; some tracks M2 English-only."
France,Grand Est,Université de Strasbourg,Master in Economics,24,Economics,8092,11895,Yes,12,APS / Carte recherche d'emploi,program_total,https://www.unistra.fr/formation/continuer-ses-etudes/masters-mention-economie,https://www.service-public.gouv.fr/particuliers/vosdroits/F17319,2026-07-23,"English or bilingual track; 2-year national Master (M1+M2). Non-EU differentiated registration €3,941/yr + CVEC €105/yr (2025–26); embassy/university fee-exemption quotas may apply. Indian 4-year BBA: via Études en France/Campus France; check faculty prerequisites. Verify English share on programme page; some tracks M2 English-only."
France,Île-de-France,Sorbonne Université,Master in Economics and Public Policy (English courses),24,Economics,8092,11895,Yes,12,APS / Carte recherche d'emploi,program_total,https://www.sorbonne-universite.fr/en/education-science/masters-degree-economics,https://www.service-public.gouv.fr/particuliers/vosdroits/F17319,2026-07-23,"English or bilingual track; 2-year national Master (M1+M2). Non-EU differentiated registration €3,941/yr + CVEC €105/yr (2025–26); embassy/university fee-exemption quotas may apply. Indian 4-year BBA: via Études en France/Campus France; check faculty prerequisites. Verify English share on programme page; some tracks M2 English-only."
France,Île-de-France,Université Paris 1 Panthéon-Sorbonne,Master in Economics (international pathway),24,Economics,8092,11895,Yes,12,APS / Carte recherche d'emploi,program_total,https://formations.pantheonsorbonne.fr/fr/catalogue-des-formations/master-XB/master-economie-KBUTP3I2.html,https://www.service-public.gouv.fr/particuliers/vosdroits/F17319,2026-07-23,"English or bilingual track; 2-year national Master (M1+M2). Non-EU differentiated registration €3,941/yr + CVEC €105/yr (2025–26); embassy/university fee-exemption quotas may apply. Indian 4-year BBA: via Études en France/Campus France; check faculty prerequisites. Verify English share on programme page; some tracks M2 English-only."
France,Hauts-de-France,Université de Lille,Master in Economics — international track,24,Economics,8092,11895,Yes,12,APS / Carte recherche d'emploi,program_total,https://www.univ-lille.fr/formation/catalogue-des-formations/master-economie,https://www.service-public.gouv.fr/particuliers/vosdroits/F17319,2026-07-23,"English or bilingual track; 2-year national Master (M1+M2). Non-EU differentiated registration €3,941/yr + CVEC €105/yr (2025–26); embassy/university fee-exemption quotas may apply. Indian 4-year BBA: via Études en France/Campus France; check faculty prerequisites. Verify English share on programme page; some tracks M2 English-only."
France,Pays de la Loire,Université de Nantes,Master in Economics,24,Economics,8092,11895,Yes,12,APS / Carte recherche d'emploi,program_total,https://sciences-eco.univ-nantes.fr/formations/masters/master-economie,https://www.service-public.gouv.fr/particuliers/vosdroits/F17319,2026-07-23,"English or bilingual track; 2-year national Master (M1+M2). Non-EU differentiated registration €3,941/yr + CVEC €105/yr (2025–26); embassy/university fee-exemption quotas may apply. Indian 4-year BBA: via Études en France/Campus France; check faculty prerequisites. Verify English share on programme page; some tracks M2 English-only."
France,Provence-Alpes-Côte d'Azur,Université Côte d'Azur,Master in Economics and Management,24,Economics,8092,11895,Yes,12,APS / Carte recherche d'emploi,program_total,https://univ-cotedazur.fr/formation/offre-de-formation/master-economie-gestion,https://www.service-public.gouv.fr/particuliers/vosdroits/F17319,2026-07-23,"English or bilingual track; 2-year national Master (M1+M2). Non-EU differentiated registration €3,941/yr + CVEC €105/yr (2025–26); embassy/university fee-exemption quotas may apply. Indian 4-year BBA: via Études en France/Campus France; check faculty prerequisites. Verify English share on programme page; some tracks M2 English-only."
France,Occitanie,Université de Montpellier,Master in Economic Sciences,24,Economics,8092,11895,Yes,12,APS / Carte recherche d'emploi,program_total,https://www.umontpellier.fr/formation/catalogue-de-formation/master-sciences-economiques,https://www.service-public.gouv.fr/particuliers/vosdroits/F17319,2026-07-23,"English or bilingual track; 2-year national Master (M1+M2). Non-EU differentiated registration €3,941/yr + CVEC €105/yr (2025–26); embassy/university fee-exemption quotas may apply. Indian 4-year BBA: via Études en France/Campus France; check faculty prerequisites. Verify English share on programme page; some tracks M2 English-only."
France,Bretagne,Université de Rennes,Master in Economics,24,Economics,8092,11895,Yes,12,APS / Carte recherche d'emploi,program_total,https://economie-finance.univ-rennes.fr/formations/master-economie,https://www.service-public.gouv.fr/particuliers/vosdroits/F17319,2026-07-23,"English or bilingual track; 2-year national Master (M1+M2). Non-EU differentiated registration €3,941/yr + CVEC €105/yr (2025–26); embassy/university fee-exemption quotas may apply. Indian 4-year BBA: via Études en France/Campus France; check faculty prerequisites. Verify English share on programme page; some tracks M2 English-only."
France,Occitanie,Université Toulouse Capitole,Master in International Management (English track),24,Management,8092,11895,Yes,12,APS / Carte recherche d'emploi,program_total,https://www.ut-capitole.fr/formation/catalogue-des-formations/master-management-international,https://www.service-public.gouv.fr/particuliers/vosdroits/F17319,2026-07-23,"English or bilingual track; 2-year national Master (M1+M2). Non-EU differentiated registration €3,941/yr + CVEC €105/yr (2025–26); embassy/university fee-exemption quotas may apply. Indian 4-year BBA: via Études en France/Campus France; check faculty prerequisites. Verify English share on programme page; some tracks M2 English-only."
France,Île-de-France,Université Paris Cité,Master in Economics,24,Economics,8092,11895,Yes,12,APS / Carte recherche d'emploi,program_total,https://u-paris.fr/formation/master-economie/,https://www.service-public.gouv.fr/particuliers/vosdroits/F17319,2026-07-23,"English or bilingual track; 2-year national Master (M1+M2). Non-EU differentiated registration €3,941/yr + CVEC €105/yr (2025–26); embassy/university fee-exemption quotas may apply. Indian 4-year BBA: via Études en France/Campus France; check faculty prerequisites. Verify English share on programme page; some tracks M2 English-only."
