Country,Region_Province,Institution,Program,Duration_months,Field_relevance,Intl_tuition_CAD_verified,Budget_tier,Poststudy_work_months,Poststudy_pathway_name,Verified_source_URL,Notes
Canada,NL,Memorial University (MUN),MSc Medicine – Applied Health Services Research (Professional stream),12,Business,16061,Yes,36,PGWP,https://www.mun.ca/finance/graduate-student-tuition-and-fees/,"Course-route plan: ~$2,000/sem×3 + $10,061 intl special (2024-25 fee PDF; confirm current year)"
Canada,MB,Brandon University,MEd (course route),16,Business,17500,Yes,36,PGWP,https://www.brandonu.ca/registration/files/Graduate-International-Tuition-Table-2025-26.pdf,"~30 credits × ~$1,452 NET tuition/3cr + mandatory; duration often >12 mo"
Canada,MB,Brandon University,Master of Music,16,Business,17500,Yes,36,PGWP,https://www.brandonu.ca/registration/files/Graduate-International-Tuition-Table-2025-26.pdf,Per-credit intl table; total depends on credit load
Canada,NS,Acadia University,MSc Computer Science (project-based),12,Business,17726,Yes,36,PGWP,https://www2.acadiau.ca/student-services/student-accounts/tuition-fees/full-time-student-fees.html,Intl residency tuition year 1; 2-year program if not finished in 12 mo
Canada,MB,Brandon University,Master of Psychiatric Nursing,16,Business,19000,Yes,36,PGWP,https://www.brandonu.ca/graduate-studies/programs/,~27 credits at intl grad rates; confirm credit count with department
Canada,QC,Université de Moncton,Maîtrise ès sciences (gestion) – course route,12,Business,19000,Yes,36,PGWP,https://www.umoncton.ca/node/270,French; 2026-27 intl $579/credit + insurance; ~33 cr ≈ $19k tuition + fees
Canada,ON,Carleton University,MA Teaching English as Additional Language,16,Business,19738,Borderline,36,PGWP,https://carleton.ca/studentaccounts/tuition-fees/fw-gr/f25w26-gr-international/,"Verified Fall+Winter year-1=$19,738.00; est. full 16mo program≈$19,738 if multi-year registration"
Canada,NS,Saint Mary's University,MA History/Philosophy/Theology (1-year),12,Business,19929,Yes,36,PGWP,https://www.smu.ca/academics/graduate-tuition-fees.html,2025/26 Grad Program Fee Schedule PDF
Canada,NS,Saint Mary's University,MA Global Development Studies (1-year),12,Business,19929,Yes,36,PGWP,https://www.smu.ca/academics/graduate-tuition-fees.html,2025/26 Grad Program Fee Schedule PDF
Canada,NS,Saint Mary's University,MA Sociology (1-year band),12,Business,19929,Yes,36,PGWP,https://www.smu.ca/academics/graduate-tuition-fees.html,2025/26 Grad Program Fee Schedule PDF
