Country,Region_Province,Institution,Program,Duration_months,Field_relevance,Intl_tuition_local_currency,Intl_tuition_CAD_verified,Budget_tier,Poststudy_work_months,Poststudy_pathway_name,Fee_basis,Verified_source_URL,Immigration_source_URL,Last_verified,Notes
New Zealand,Auckland,University of Auckland,"Master of Commerce (MCom) — Accounting (180 points, coursework + research/project)",15,Business,71512,58640,No,36,PSWV,per_semester_calc,https://www.auckland.ac.nz/en/study/study-options/find-a-study-option/master-of-commerce-mcom.html,https://www.immigration.govt.nz/visas/post-study-work-visa/,2026-07-23,"180pt ≈ 1.5× BE intl 120pt band NZD 47,675; + SSF ~NZD 1,699 not in tuition. BCom/GPE 5.0. PSWV: 15–18mo full-time in NZ ≥30 weeks."
New Zealand,Auckland,University of Auckland,Master of Commerce (MCom) — Economics (180 points),15,Economics,71512,58640,No,36,PSWV,per_semester_calc,https://www.auckland.ac.nz/en/study/fees-and-money-matters/tuition-fees/international-student-fees/postgraduate-international-fees.html,https://www.immigration.govt.nz/visas/post-study-work-visa/,2026-07-23,Applied economics courses available in MCom Economics specialisation.
New Zealand,Auckland,University of Auckland,Master of Commerce (MCom) — Finance (180 points),15,Business,71512,58640,No,36,PSWV,per_semester_calc,https://www.auckland.ac.nz/en/study/study-options/find-a-study-option/master-of-commerce-mcom.html,https://www.immigration.govt.nz/visas/post-study-work-visa/,2026-07-23,Higher entry grades for finance specialisation.
New Zealand,Auckland,University of Auckland,Master of Commerce (MCom) — Global Management and Innovation (180 points),15,Management,71512,58640,No,36,PSWV,per_semester_calc,https://www.auckland.ac.nz/en/study/study-options/find-a-study-option/master-of-commerce-mcom.html,https://www.immigration.govt.nz/visas/post-study-work-visa/,2026-07-23,Coursework + consultancy/applied research pathways.
New Zealand,Auckland,University of Auckland,Master of Commerce (MCom) — Marketing (180 points),15,Business,71512,58640,No,36,PSWV,per_semester_calc,https://www.auckland.ac.nz/en/study/study-options/find-a-study-option/master-of-commerce-mcom.html,https://www.immigration.govt.nz/visas/post-study-work-visa/,2026-07-23,
New Zealand,Auckland,University of Auckland,Master of Commerce (MCom) — Information Systems (180 points),15,Analytics,71512,58640,No,36,PSWV,per_semester_calc,https://www.auckland.ac.nz/en/study/study-options/find-a-study-option/master-of-commerce-mcom.html,https://www.immigration.govt.nz/visas/post-study-work-visa/,2026-07-23,BBA + CS career bridge.
New Zealand,Auckland,University of Auckland,"Master of Management (MMgt) — 180 points (Accounting, International Business, or Marketing)",15,Management,65862,54007,No,36,PSWV,program_total,https://businessmasters.blogs.auckland.ac.nz/programmes-entry-and-fees/master-of-management-mmgt/,https://www.immigration.govt.nz/visas/post-study-work-visa/,2026-07-23,"Conversion master's; India entry First Class. Tuition NZD 65,862 + SSF. 15 months ≈ ≥30 weeks on master's."
New Zealand,Auckland,University of Auckland,Master of Professional Accounting (MProfAcctg) — 180 points,18,Business,76722.98,62913,No,36,PSWV,program_total,https://www.businessmasters.auckland.ac.nz/programme-information/master-of-professional-accounting/,https://www.immigration.govt.nz/visas/post-study-work-visa/,2026-07-23,Coursework professional; intl scholarship up to NZD 24k possible.
New Zealand,Auckland,University of Auckland,Master of Business Analytics (MBusAn) — 180 points,15,Analytics,76722.98,62913,No,36,PSWV,program_total,https://www.businessmasters.auckland.ac.nz/programme-information/master-of-business-analytics/,https://www.immigration.govt.nz/visas/post-study-work-visa/,2026-07-23,Quarter calendar; strong BBA+CS fit.
New Zealand,Auckland,University of Auckland,Master of Applied Finance (MAppFin) — 180 points,15,Business,76722.98,62913,No,36,PSWV,program_total,https://www.auckland.ac.nz/en/study/study-options/find-a-study-option/master-of-applied-finance.html,https://www.immigration.govt.nz/visas/post-study-work-visa/,2026-07-23,Fee aligned with other 180pt Business Masters professional programmes on Business Masters site.
