Country,Region_Province,Institution,Program,Duration_months,Field_relevance,Intl_tuition_local_currency,Intl_tuition_CAD_verified,Budget_tier,Poststudy_work_months,Poststudy_pathway_name,Fee_basis,Verified_source_URL,Immigration_source_URL,Last_verified,Notes
Poland,Mazowieckie,SGH Warsaw School of Economics,"MSc Global Business, Finance and Governance (GLO)",24,Business,4600,6762,Yes,9,Graduate temporary residence permit (9 months),per_semester_calc,https://www.sgh.waw.pl/en/fees-graduate-studies,https://www.gov.pl/web/udsc-en/permit-for-temporary-residence--graduate,2026-07-23,"Full-time (stacjonarne) second-cycle; English medium; Indian BBA typically eligible with NAWA recognition statement where required (Art. 326a PSWiN); work permit exemption for full-time Polish university graduates per 2025 rules — residence permit still required. Non-EU tuition €2,300/sem (2025/26); payments in EUR per Rector regulation."
Poland,Mazowieckie,SGH Warsaw School of Economics,MSc Advanced Analytics – Big Data (AAB),24,Analytics,4600,6762,Yes,9,Graduate temporary residence permit (9 months),per_semester_calc,https://www.sgh.waw.pl/en/fees-graduate-studies,https://www.gov.pl/web/udsc-en/permit-for-temporary-residence--graduate,2026-07-23,"Full-time (stacjonarne) second-cycle; English medium; Indian BBA typically eligible with NAWA recognition statement where required (Art. 326a PSWiN); work permit exemption for full-time Polish university graduates per 2025 rules — residence permit still required. Non-EU tuition €2,300/sem (2025/26); payments in EUR per Rector regulation."
Poland,Mazowieckie,SGH Warsaw School of Economics,MSc International Business (IB),24,Business,4600,6762,Yes,9,Graduate temporary residence permit (9 months),per_semester_calc,https://www.sgh.waw.pl/en/fees-graduate-studies,https://www.gov.pl/web/udsc-en/permit-for-temporary-residence--graduate,2026-07-23,"Full-time (stacjonarne) second-cycle; English medium; Indian BBA typically eligible with NAWA recognition statement where required (Art. 326a PSWiN); work permit exemption for full-time Polish university graduates per 2025 rules — residence permit still required. Non-EU tuition €2,300/sem (2025/26); payments in EUR per Rector regulation."
Poland,Mazowieckie,SGH Warsaw School of Economics,"MSc Management, Entrepreneurship, Technology and Innovation (MET)",24,Management,4600,6762,Yes,9,Graduate temporary residence permit (9 months),per_semester_calc,https://www.sgh.waw.pl/en/fees-graduate-studies,https://www.gov.pl/web/udsc-en/permit-for-temporary-residence--graduate,2026-07-23,"Full-time (stacjonarne) second-cycle; English medium; Indian BBA typically eligible with NAWA recognition statement where required (Art. 326a PSWiN); work permit exemption for full-time Polish university graduates per 2025 rules — residence permit still required. Non-EU tuition €2,300/sem (2025/26); payments in EUR per Rector regulation."
Poland,Mazowieckie,SGH Warsaw School of Economics,MSc Finance and Accounting — Practical Profile with ACCA (FAP),24,Business,6000,8820,Yes,9,Graduate temporary residence permit (9 months),per_semester_calc,https://www.sgh.waw.pl/en/fees-graduate-studies,https://www.gov.pl/web/udsc-en/permit-for-temporary-residence--graduate,2026-07-23,"Full-time (stacjonarne) second-cycle; English medium; Indian BBA typically eligible with NAWA recognition statement where required (Art. 326a PSWiN); work permit exemption for full-time Polish university graduates per 2025 rules — residence permit still required. €3,000/sem (2025/26); ACCA-aligned practical profile."
Poland,Mazowieckie,SGH Warsaw School of Economics,International Master in Management and Accounting — Practical Profile,24,Management,4600,6762,Yes,9,Graduate temporary residence permit (9 months),per_semester_calc,https://www.sgh.waw.pl/en/second-cycle-studies/international-master-program-management-accounting-prac,https://www.gov.pl/web/udsc-en/permit-for-temporary-residence--graduate,2026-07-23,"Full-time (stacjonarne) second-cycle; English medium; Indian BBA typically eligible with NAWA recognition statement where required (Art. 326a PSWiN); work permit exemption for full-time Polish university graduates per 2025 rules — residence permit still required. English second-cycle; fee aligned with other €2,300/sem programmes unless FAP rate applies — verify at admission."
Poland,Mazowieckie,University of Warsaw,MA/MSc International Business Program (IBP),24,Business,4200,6174,Yes,9,Graduate temporary residence permit (9 months),per_year,https://wz.uw.edu.pl/en/student-2/study-in-english/international-business-program/,https://www.gov.pl/web/udsc-en/permit-for-temporary-residence--graduate,2026-07-23,Full-time (stacjonarne) second-cycle; English medium; Indian BBA typically eligible with NAWA recognition statement where required (Art. 326a PSWiN); work permit exemption for full-time Polish university graduates per 2025 rules — residence permit still required. Non-EU annual tuition €4200 (2025/26 fee schedule PDF).
Poland,Mazowieckie,University of Warsaw,MA/MSc International Economics,24,Economics,3900,5733,Yes,9,Graduate temporary residence permit (9 months),per_year,https://informatorects.uw.edu.pl/en/programmes-all/,https://www.gov.pl/web/udsc-en/permit-for-temporary-residence--graduate,2026-07-23,Full-time (stacjonarne) second-cycle; English medium; Indian BBA typically eligible with NAWA recognition statement where required (Art. 326a PSWiN); work permit exemption for full-time Polish university graduates per 2025 rules — residence permit still required. Non-EU annual tuition €3900 (2025/26 fee schedule PDF).
Poland,Mazowieckie,University of Warsaw,MA/MSc Business and Management,24,Management,4000,5880,Yes,9,Graduate temporary residence permit (9 months),per_year,https://rekrutacja.uw.edu.pl/files/pdf/tuition_fees_2025-2026_06.2025.pdf,https://www.gov.pl/web/udsc-en/permit-for-temporary-residence--graduate,2026-07-23,Full-time (stacjonarne) second-cycle; English medium; Indian BBA typically eligible with NAWA recognition statement where required (Art. 326a PSWiN); work permit exemption for full-time Polish university graduates per 2025 rules — residence permit still required. Non-EU annual tuition €4000 (2025/26 fee schedule PDF).
Poland,Mazowieckie,University of Warsaw,"MA/MSc Finance, International Investment and Accounting",24,Business,3550,5218,Yes,9,Graduate temporary residence permit (9 months),per_year,https://rekrutacja.uw.edu.pl/files/pdf/tuition_fees_2025-2026_06.2025.pdf,https://www.gov.pl/web/udsc-en/permit-for-temporary-residence--graduate,2026-07-23,Full-time (stacjonarne) second-cycle; English medium; Indian BBA typically eligible with NAWA recognition statement where required (Art. 326a PSWiN); work permit exemption for full-time Polish university graduates per 2025 rules — residence permit still required. Non-EU annual tuition €3550 (2025/26 fee schedule PDF).
