Country,Region_Province,Institution,Program,Duration_months,Field_relevance,Intl_tuition_local_currency,Intl_tuition_CAD_verified,Budget_tier,Poststudy_work_months,Poststudy_pathway_name,Fee_basis,Verified_source_URL,Immigration_source_URL,Last_verified,Notes
Portugal,Lisbon,ISEG — Lisbon School of Economics and Management (Universidade de Lisboa),Master in Applied Econometrics and Forecasting,24,Analytics,7100,10437,Yes,12,Article 122 (alínea p),program_total,https://www.iseg.ulisboa.pt/en/study/masters/applied-econometrics-and-forecasting/,https://aima.gov.pt/pt/trabalhar/tendo-beneficiado-de-ar-para-estudantes-do-2-o-ou-3-o-ciclos-do-ensino-superior-ou-de-ar-para-investigacao-e-concluido-os-estudo,2026-07-23,Non-EU international student statute; total tuition €7.100 (2026/27 ISEG fee table). 2nd-cycle (120 ECTS) master’s; mandatory courses taught in English on international intakes; Indian 4-year bachelor typically accepted via ULisboa international contest; IELTS ~6.0+ typical.
Portugal,Lisbon,ISEG — Lisbon School of Economics and Management (Universidade de Lisboa),Master in Economics and Public Policy,24,Economics,7100,10437,Yes,12,Article 122 (alínea p),program_total,https://www.iseg.ulisboa.pt/secretaria/en/students-outside-the-international-european-union-2026-2027-2/,https://aima.gov.pt/pt/trabalhar/tendo-beneficiado-de-ar-para-estudantes-do-2-o-ou-3-o-ciclos-do-ensino-superior-ou-de-ar-para-investigacao-e-concluido-os-estudo,2026-07-23,Non-EU international student statute; total tuition €7.100 (2026/27 ISEG fee table). 2nd-cycle (120 ECTS) master’s; mandatory courses taught in English on international intakes; Indian 4-year bachelor typically accepted via ULisboa international contest; IELTS ~6.0+ typical. Programme page URL varies; euro total verified on ISEG 2026/27 international fee table.
Portugal,Lisbon,ISEG — Lisbon School of Economics and Management (Universidade de Lisboa),Master in Quantitative Methods for Economic and Business Decision Making,24,Analytics,7950,11686,Yes,12,Article 122 (alínea p),program_total,https://www.iseg.ulisboa.pt/secretaria/en/students-outside-the-international-european-union-2026-2027-2/,https://aima.gov.pt/pt/trabalhar/tendo-beneficiado-de-ar-para-estudantes-do-2-o-ou-3-o-ciclos-do-ensino-superior-ou-de-ar-para-investigacao-e-concluido-os-estudo,2026-07-23,Non-EU international student statute; total tuition €7.950 (2026/27 ISEG fee table). 2nd-cycle (120 ECTS) master’s; mandatory courses taught in English on international intakes; Indian 4-year bachelor typically accepted via ULisboa international contest; IELTS ~6.0+ typical. Programme page URL varies; euro total verified on ISEG 2026/27 international fee table.
Portugal,Lisbon,ISEG — Lisbon School of Economics and Management (Universidade de Lisboa),Master in Development and International Cooperation,24,Economics,8050,11834,Yes,12,Article 122 (alínea p),program_total,https://www.iseg.ulisboa.pt/secretaria/en/students-outside-the-international-european-union-2026-2027-2/,https://aima.gov.pt/pt/trabalhar/tendo-beneficiado-de-ar-para-estudantes-do-2-o-ou-3-o-ciclos-do-ensino-superior-ou-de-ar-para-investigacao-e-concluido-os-estudo,2026-07-23,Non-EU international student statute; total tuition €8.050 (2026/27 ISEG fee table). 2nd-cycle (120 ECTS) master’s; mandatory courses taught in English on international intakes; Indian 4-year bachelor typically accepted via ULisboa international contest; IELTS ~6.0+ typical. Programme page URL varies; euro total verified on ISEG 2026/27 international fee table.
Portugal,Lisbon,ISEG — Lisbon School of Economics and Management (Universidade de Lisboa),Master in Economics,24,Economics,8250,12128,Yes,12,Article 122 (alínea p),program_total,https://www.iseg.ulisboa.pt/en/study/masters/economics/,https://aima.gov.pt/pt/trabalhar/tendo-beneficiado-de-ar-para-estudantes-do-2-o-ou-3-o-ciclos-do-ensino-superior-ou-de-ar-para-investigacao-e-concluido-os-estudo,2026-07-23,Non-EU international student statute; total tuition €8.250 (2026/27 ISEG fee table). 2nd-cycle (120 ECTS) master’s; mandatory courses taught in English on international intakes; Indian 4-year bachelor typically accepted via ULisboa international contest; IELTS ~6.0+ typical.
Portugal,Lisbon,ISEG — Lisbon School of Economics and Management (Universidade de Lisboa),Master in Monetary and Financial Economics,24,Economics,8250,12128,Yes,12,Article 122 (alínea p),program_total,https://www.iseg.ulisboa.pt/en/study/masters/monetary-and-financial-economics/,https://aima.gov.pt/pt/trabalhar/tendo-beneficiado-de-ar-para-estudantes-do-2-o-ou-3-o-ciclos-do-ensino-superior-ou-de-ar-para-investigacao-e-concluido-os-estudo,2026-07-23,Non-EU international student statute; total tuition €8.250 (2026/27 ISEG fee table). 2nd-cycle (120 ECTS) master’s; mandatory courses taught in English on international intakes; Indian 4-year bachelor typically accepted via ULisboa international contest; IELTS ~6.0+ typical.
Portugal,Lisbon,ISEG — Lisbon School of Economics and Management (Universidade de Lisboa),Master in Actuarial Science,24,Economics,8500,12495,Yes,12,Article 122 (alínea p),program_total,https://www.iseg.ulisboa.pt/en/study/masters/actuarial-science/,https://aima.gov.pt/pt/trabalhar/tendo-beneficiado-de-ar-para-estudantes-do-2-o-ou-3-o-ciclos-do-ensino-superior-ou-de-ar-para-investigacao-e-concluido-os-estudo,2026-07-23,Non-EU international student statute; total tuition €8.500 (2026/27 ISEG fee table). 2nd-cycle (120 ECTS) master’s; mandatory courses taught in English on international intakes; Indian 4-year bachelor typically accepted via ULisboa international contest; IELTS ~6.0+ typical.
Portugal,Lisbon,ISEG — Lisbon School of Economics and Management (Universidade de Lisboa),Master in International Economics and European Studies,24,Economics,8800,12936,Yes,12,Article 122 (alínea p),program_total,https://www.iseg.ulisboa.pt/secretaria/en/students-outside-the-international-european-union-2026-2027-2/,https://aima.gov.pt/pt/trabalhar/tendo-beneficiado-de-ar-para-estudantes-do-2-o-ou-3-o-ciclos-do-ensino-superior-ou-de-ar-para-investigacao-e-concluido-os-estudo,2026-07-23,Non-EU international student statute; total tuition €8.800 (2026/27 ISEG fee table). 2nd-cycle (120 ECTS) master’s; mandatory courses taught in English on international intakes; Indian 4-year bachelor typically accepted via ULisboa international contest; IELTS ~6.0+ typical. Programme page URL varies; euro total verified on ISEG 2026/27 international fee table.
Portugal,Lisbon,ISEG — Lisbon School of Economics and Management (Universidade de Lisboa),Master in Innovation and Research for Sustainability,24,Economics,8750,12862,Yes,12,Article 122 (alínea p),program_total,https://www.iseg.ulisboa.pt/en/study/masters/innovation-and-research-for-sustainability/,https://aima.gov.pt/pt/trabalhar/tendo-beneficiado-de-ar-para-estudantes-do-2-o-ou-3-o-ciclos-do-ensino-superior-ou-de-ar-para-investigacao-e-concluido-os-estudo,2026-07-23,Non-EU international student statute; total tuition €8.750 (2026/27 ISEG fee table). 2nd-cycle (120 ECTS) master’s; mandatory courses taught in English on international intakes; Indian 4-year bachelor typically accepted via ULisboa international contest; IELTS ~6.0+ typical.
Portugal,Lisbon,ISEG — Lisbon School of Economics and Management (Universidade de Lisboa),Master in Mathematical Finance,24,Business,8750,12862,Yes,12,Article 122 (alínea p),program_total,https://www.iseg.ulisboa.pt/en/study/masters/mathematical-finance/,https://aima.gov.pt/pt/trabalhar/tendo-beneficiado-de-ar-para-estudantes-do-2-o-ou-3-o-ciclos-do-ensino-superior-ou-de-ar-para-investigacao-e-concluido-os-estudo,2026-07-23,Non-EU international student statute; total tuition €8.750 (2026/27 ISEG fee table). 2nd-cycle (120 ECTS) master’s; mandatory courses taught in English on international intakes; Indian 4-year bachelor typically accepted via ULisboa international contest; IELTS ~6.0+ typical.
