Country,Region_Province,Institution,Program,Duration_months,Field_relevance,Intl_tuition_local_currency,Intl_tuition_CAD_verified,Budget_tier,Poststudy_work_months,Poststudy_pathway_name,Fee_basis,Verified_source_URL,Immigration_source_URL,Last_verified,Notes
United Kingdom,Cheshire,University of Chester,MSc Management,12,Management,15500,26660,Yes,24,Graduate Route,program_total,https://www.chester.ac.uk/study/course-search/management-msc/,https://www.gov.uk/graduate-visa,2026-07-23,Graduate Route: 24 months if visa application on/before 31 Dec 2026; 18 months if application on/after 1 Jan 2027 (gov.uk). Indian BBA: typically min 2:2 or equivalent; check IELTS per course. CAD conversion at 1 GBP = 1.72.
United Kingdom,Cheshire,University of Chester,MSc International Business,12,Business,15500,26660,Yes,24,Graduate Route,program_total,https://www.chester.ac.uk/study/course-search/international-business-msc/,https://www.gov.uk/graduate-visa,2026-07-23,Graduate Route: 24 months if visa application on/before 31 Dec 2026; 18 months if application on/after 1 Jan 2027 (gov.uk). Indian BBA: typically min 2:2 or equivalent; check IELTS per course. CAD conversion at 1 GBP = 1.72.
United Kingdom,Cheshire,University of Chester,MBA,12,Management,15500,26660,Yes,24,Graduate Route,program_total,https://www.chester.ac.uk/study/course-search/mba/,https://www.gov.uk/graduate-visa,2026-07-23,"Graduate Route: 24 months if visa application on/before 31 Dec 2026; 18 months if application on/after 1 Jan 2027 (gov.uk). Indian BBA: typically min 2:2 or equivalent; check IELTS per course. CAD conversion at 1 GBP = 1.72. Confirm MBA title on offer; same £15,500 PG intl band 2026/27."
United Kingdom,West Yorkshire,Leeds Trinity University,MA International Business,12,Business,15000,25800,Yes,24,Graduate Route,program_total,https://www.leedstrinity.ac.uk/international/international-fees-and-funding/tuition-fees/,https://www.gov.uk/graduate-visa,2026-07-23,Graduate Route: 24 months if visa application on/before 31 Dec 2026; 18 months if application on/after 1 Jan 2027 (gov.uk). Indian BBA: typically min 2:2 or equivalent; check IELTS per course. CAD conversion at 1 GBP = 1.72. 1-year MA; fee table 2026/27.
United Kingdom,West Yorkshire,Leeds Trinity University,MBA,12,Management,15250,26230,Yes,24,Graduate Route,program_total,https://www.leedstrinity.ac.uk/international/international-fees-and-funding/tuition-fees/,https://www.gov.uk/graduate-visa,2026-07-23,Graduate Route: 24 months if visa application on/before 31 Dec 2026; 18 months if application on/after 1 Jan 2027 (gov.uk). Indian BBA: typically min 2:2 or equivalent; check IELTS per course. CAD conversion at 1 GBP = 1.72.
United Kingdom,West Yorkshire,Leeds Trinity University,MSc Business Analytics,12,Analytics,15000,25800,Yes,24,Graduate Route,program_total,https://www.leedstrinity.ac.uk/international/international-fees-and-funding/tuition-fees/,https://www.gov.uk/graduate-visa,2026-07-23,Graduate Route: 24 months if visa application on/before 31 Dec 2026; 18 months if application on/after 1 Jan 2027 (gov.uk). Indian BBA: typically min 2:2 or equivalent; check IELTS per course. CAD conversion at 1 GBP = 1.72.
United Kingdom,West Yorkshire,Leeds Trinity University,MSc Digital Marketing,12,Business,15000,25800,Yes,24,Graduate Route,program_total,https://www.leedstrinity.ac.uk/international/international-fees-and-funding/tuition-fees/,https://www.gov.uk/graduate-visa,2026-07-23,Graduate Route: 24 months if visa application on/before 31 Dec 2026; 18 months if application on/after 1 Jan 2027 (gov.uk). Indian BBA: typically min 2:2 or equivalent; check IELTS per course. CAD conversion at 1 GBP = 1.72.
United Kingdom,West Yorkshire,Leeds Trinity University,MSc Project Management,12,Management,15000,25800,Yes,24,Graduate Route,program_total,https://www.leedstrinity.ac.uk/international/international-fees-and-funding/tuition-fees/,https://www.gov.uk/graduate-visa,2026-07-23,Graduate Route: 24 months if visa application on/before 31 Dec 2026; 18 months if application on/after 1 Jan 2027 (gov.uk). Indian BBA: typically min 2:2 or equivalent; check IELTS per course. CAD conversion at 1 GBP = 1.72.
United Kingdom,West Yorkshire,Leeds Trinity University,MSc Financial Technology,12,Business,15000,25800,Yes,24,Graduate Route,program_total,https://www.leedstrinity.ac.uk/international/international-fees-and-funding/tuition-fees/,https://www.gov.uk/graduate-visa,2026-07-23,Graduate Route: 24 months if visa application on/before 31 Dec 2026; 18 months if application on/after 1 Jan 2027 (gov.uk). Indian BBA: typically min 2:2 or equivalent; check IELTS per course. CAD conversion at 1 GBP = 1.72.
United Kingdom,North Yorkshire,York St John University,MBA,12,Management,11800,20296,Yes,24,Graduate Route,program_total,https://www.yorksj.ac.uk/courses/postgraduate/business-management/master-of-business-administration/,https://www.gov.uk/graduate-visa,2026-07-23,Graduate Route: 24 months if visa application on/before 31 Dec 2026; 18 months if application on/after 1 Jan 2027 (gov.uk). Indian BBA: typically min 2:2 or equivalent; check IELTS per course. CAD conversion at 1 GBP = 1.72. 2026/27 intl fee on course page; 5% early-pay discount may apply.
